title,industry,release_year,imdb_rating,studio,budget,revenue,unit,currency,language
Captain America 47,Bollywood,1969,7.5,Zee Studios,452.38,3994.75,Billions,INR,Telugu
Bajirao 48,Hollywood,1987,7.3,Liberty Films,22.99,2636.86,Billions,USD,Telugu
Sanju 49,Hollywood,1980,8.2,Liberty Films,298.93,738.27,Millions,USD,Bengali
Bajirao 50,Hollywood,1961,5.9,Dharma Productions,485.2,1713.76,Billions,USD,English
RRR 51,Hollywood,1977,6.1,Paramount,356.57,3297.84,Millions,USD,Bengali
Thor 52,Hollywood,1970,5.1,Liberty Films,456.38,2623.53,Billions,USD,Hindi
Avengers 53,Hollywood,1966,7.5,Paramount,246.83,693.98,Billions,USD,Bengali
Captain America 54,Bollywood,2006,7.7,Zee Studios,444.94,1022.61,Billions,INR,English
Gladiator 55,Hollywood,1970,5.6,Paramount,321.54,4392.56,Billions,USD,Hindi
PK 56,Bollywood,1981,8.1,Paramount,376.85,1464.33,Billions,INR,Telugu
Sanju 57,Hollywood,1965,6.4,DVV Entertainment,155.06,4754.71,Billions,USD,Telugu
Schindler 58,Hollywood,2011,8.9,Liberty Films,209.04,2125.64,Billions,USD,Hindi
Thor 59,Hollywood,1993,6.6,DVV Entertainment,357.54,2077.34,Billions,USD,Bengali
Doctor Str 60,Hollywood,1983,7.5,DVV Entertainment,206.83,4962.2,Millions,USD,Hindi
Munna Bhai 61,Hollywood,2014,5.2,Universal,81.33,4511.63,Billions,USD,Telugu
Doctor Str 62,Bollywood,1993,5.6,Dharma Productions,286.67,1476.42,Millions,INR,Kannada
Interstellar 63,Bollywood,1982,8.9,Marvel Studios,269.2,1122.53,Millions,INR,English
Titanic 64,Bollywood,2011,7.0,Paramount,350.25,3950.28,Millions,INR,Kannada
Pathar P 65,Bollywood,2003,8.8,Liberty Films,446.59,2300.76,Billions,INR,Hindi
Jurassic Park 66,Bollywood,1990,8.0,DVV Entertainment,192.53,3175.17,Millions,INR,English
Titanic 67,Bollywood,2001,5.1,Columbia Pictures,215.06,3104.21,Billions,INR,Telugu
Pursuit 68,Bollywood,1997,5.8,Universal,157.58,4448.22,Millions,INR,English
Doctor Str 69,Bollywood,1954,8.8,Zee Studios,144.46,3237.51,Millions,INR,English
Parasite 70,Hollywood,1986,9.4,Yash Raj Films,477.6,2662.97,Billions,USD,Kannada
Jurassic Park 71,Hollywood,2012,5.5,Dharma Productions,355.32,3664.73,Billions,USD,Bengali
RRR 72,Hollywood,2005,5.4,Warner Bros,147.61,4791.41,Billions,USD,Kannada
Captain America 73,Bollywood,1962,9.0,Zee Studios,496.01,3304.51,Millions,INR,Telugu
Shawshank 74,Bollywood,2016,7.9,Yash Raj Films,164.91,4252.84,Millions,INR,Telugu
Sanju 75,Bollywood,1981,5.8,Yash Raj Films,64.1,2965.81,Millions,INR,Bengali
Titanic 76,Hollywood,1977,7.9,Yash Raj Films,376.54,63.74,Millions,USD,Bengali
Gladiator 77,Bollywood,1965,7.5,Yash Raj Films,151.41,3598.82,Billions,INR,Kannada
Pathar P 78,Bollywood,1974,9.3,Columbia Pictures,470.47,1869.98,Billions,INR,Telugu
Kabhi Khushi 79,Bollywood,2012,9.0,Paramount,4.63,4353.36,Millions,INR,Hindi
PK 80,Bollywood,1994,6.5,Marvel Studios,298.77,195.23,Billions,INR,Bengali
KGF 81,Hollywood,1985,6.6,Zee Studios,232.31,297.69,Millions,USD,Kannada
Godfather 82,Bollywood,1986,6.1,Zee Studios,135.7,1045.86,Billions,INR,Kannada
Interstellar 83,Bollywood,1960,9.2,Yash Raj Films,137.93,679.18,Billions,INR,English
Avengers 84,Hollywood,1993,8.9,DVV Entertainment,332.59,1269.8,Millions,USD,Kannada
3 Idiots 85,Bollywood,2020,7.8,Dharma Productions,25.92,4504.12,Millions,INR,Hindi
Parasite 86,Bollywood,2002,7.8,DVV Entertainment,56.99,3699.16,Millions,INR,Kannada
Titanic 87,Hollywood,1989,6.9,Columbia Pictures,247.45,3511.89,Millions,USD,Bengali
Schindler 88,Bollywood,1974,8.1,Columbia Pictures,467.48,141.71,Billions,INR,Kannada
Captain America 89,Hollywood,1965,7.9,Marvel Studios,54.0,778.3,Millions,USD,Hindi
Interstellar 90,Bollywood,2007,8.8,Zee Studios,471.86,3923.81,Billions,INR,Bengali
PK 91,Hollywood,1980,9.2,DVV Entertainment,208.84,1849.17,Billions,USD,Bengali
Gladiator 92,Bollywood,1964,6.4,Liberty Films,333.42,2124.69,Billions,INR,Bengali
Dilwale 93,Hollywood,2000,7.2,Paramount,322.9,2269.59,Billions,USD,Telugu
Captain America 94,Bollywood,1980,9.3,Yash Raj Films,319.56,3752.39,Billions,INR,Kannada
Avengers 95,Bollywood,1950,7.2,Marvel Studios,207.09,513.28,Millions,INR,English
Kabhi Khushi 96,Hollywood,1980,8.0,Warner Bros,142.37,4645.6,Billions,USD,Telugu
Munna Bhai 97,Hollywood,2012,9.4,Dharma Productions,408.66,1011.06,Billions,USD,English
Pursuit 98,Hollywood,1993,5.2,DVV Entertainment,465.83,1204.31,Millions,USD,Bengali
Shawshank 99,Hollywood,1961,7.6,Columbia Pictures,454.98,2093.37,Millions,USD,Hindi
Dilwale 100,Hollywood,1987,8.0,Dharma Productions,245.43,1433.43,Millions,USD,Telugu
Captain America 101,Hollywood,2020,6.4,DVV Entertainment,482.8,154.59,Millions,USD,Kannada
Gladiator 102,Hollywood,1988,6.7,Marvel Studios,392.43,2781.54,Millions,USD,English
PK 103,Hollywood,1972,9.2,Marvel Studios,9.99,4527.41,Billions,USD,Telugu
Interstellar 104,Hollywood,1998,7.7,Dharma Productions,430.24,2151.46,Billions,USD,Kannada
Taare Zameen 105,Bollywood,2000,7.5,Liberty Films,254.93,3482.31,Billions,INR,Kannada
Kabhi Khushi 106,Bollywood,2008,5.9,Marvel Studios,49.55,353.14,Millions,INR,English
Shawshank 107,Bollywood,1971,7.6,Marvel Studios,297.38,2498.89,Billions,INR,English
Doctor Str 108,Bollywood,1970,7.3,Marvel Studios,252.49,1711.11,Millions,INR,Hindi
Pursuit 109,Bollywood,1982,6.2,Paramount,316.62,1691.78,Billions,INR,Telugu
Pushpa 110,Bollywood,1952,8.9,DVV Entertainment,483.43,436.8,Millions,INR,English
Kabhi Khushi 111,Bollywood,2022,8.2,Paramount,408.5,974.63,Millions,INR,English
Avatar 112,Hollywood,2007,8.9,Universal,382.6,1252.64,Millions,USD,Bengali
Avengers 113,Bollywood,1988,5.3,Liberty Films,277.31,3531.29,Billions,INR,English
Thor 114,Bollywood,1965,8.4,Paramount,252.81,2655.73,Millions,INR,Bengali
Doctor Str 115,Bollywood,1958,7.3,Paramount,94.41,570.53,Millions,INR,Hindi
KGF 116,Hollywood,1997,5.1,Columbia Pictures,156.91,405.89,Billions,USD,English
Titanic 117,Bollywood,2013,7.8,Marvel Studios,39.85,649.79,Millions,INR,English
Godfather 118,Bollywood,1956,7.9,Marvel Studios,50.47,1634.61,Millions,INR,English
Interstellar 119,Hollywood,1994,6.7,Warner Bros,361.89,1963.73,Billions,USD,Bengali
Pushpa 120,Hollywood,1971,8.3,Paramount,46.91,3030.32,Billions,USD,Hindi
Avengers 121,Bollywood,1976,7.7,Dharma Productions,354.61,2568.7,Millions,INR,Kannada
Shawshank 122,Hollywood,1965,7.9,DVV Entertainment,481.16,4570.13,Billions,USD,Hindi
Gladiator 123,Bollywood,1958,6.9,Dharma Productions,476.58,321.7,Billions,INR,English
3 Idiots 124,Hollywood,1998,9.5,Yash Raj Films,337.11,1859.76,Billions,USD,English
Pushpa 125,Hollywood,1997,7.6,Zee Studios,28.3,3970.11,Billions,USD,Kannada
PK 126,Bollywood,1959,7.1,Liberty Films,471.73,4276.71,Millions,INR,Telugu
Gladiator 127,Hollywood,1965,7.8,Yash Raj Films,65.39,2186.46,Billions,USD,Bengali
Gladiator 128,Bollywood,1969,8.3,Yash Raj Films,456.63,1314.69,Millions,INR,Kannada
Avatar 129,Hollywood,1998,5.1,Zee Studios,211.68,1420.13,Millions,USD,Hindi
Doctor Str 130,Bollywood,1974,5.5,Dharma Productions,140.92,2267.55,Millions,INR,English
Avengers 131,Hollywood,1974,8.0,Warner Bros,205.67,3913.68,Millions,USD,Hindi
Avatar 132,Bollywood,2004,6.2,Columbia Pictures,375.42,3268.68,Millions,INR,Hindi
Pathar P 133,Hollywood,2014,7.8,Zee Studios,462.2,609.17,Millions,USD,Hindi
Kabhi Khushi 134,Bollywood,2017,9.4,Universal,91.59,3802.65,Billions,INR,Kannada
Shawshank 135,Hollywood,1954,7.6,Dharma Productions,327.82,1943.71,Billions,USD,English
Sanju 136,Bollywood,2004,6.0,Dharma Productions,5.17,3425.19,Millions,INR,Bengali
Pushpa 137,Hollywood,2017,7.5,Liberty Films,321.09,3187.35,Billions,USD,Hindi
Captain America 138,Hollywood,1951,6.4,Dharma Productions,170.75,4092.24,Millions,USD,English
Interstellar 139,Bollywood,1969,8.7,Marvel Studios,328.08,132.82,Billions,INR,Telugu
Gladiator 140,Hollywood,2006,9.5,Marvel Studios,118.93,1908.2,Millions,USD,Hindi
Pathar P 141,Hollywood,2018,8.2,Liberty Films,328.4,525.9,Millions,USD,English
Titanic 142,Hollywood,1981,8.7,Zee Studios,112.16,3974.29,Billions,USD,Bengali
Schindler 143,Hollywood,1971,8.9,Universal,419.15,4719.84,Billions,USD,Kannada
Dark Knight 144,Hollywood,1960,8.1,Universal,238.54,540.21,Millions,USD,Hindi
Taare Zameen 145,Hollywood,1984,6.2,Universal,335.44,2183.34,Millions,USD,Bengali
RRR 146,Hollywood,1969,9.2,Zee Studios,73.8,4704.08,Millions,USD,Hindi
Avatar 147,Hollywood,2010,7.6,Paramount,13.47,898.83,Billions,USD,Kannada
Doctor Str 148,Bollywood,2004,7.0,Paramount,125.38,4438.06,Millions,INR,English
Dark Knight 149,Bollywood,1975,6.5,Liberty Films,171.96,284.9,Billions,INR,English
Captain America 150,Bollywood,1995,5.0,Columbia Pictures,437.01,4250.95,Billions,INR,Bengali
Parasite 151,Hollywood,2020,7.2,Warner Bros,65.32,3413.97,Millions,USD,Kannada
Shawshank 152,Hollywood,2007,9.4,Marvel Studios,389.33,1961.8,Millions,USD,Bengali
Avatar 153,Hollywood,1955,7.1,Zee Studios,366.5,2732.71,Billions,USD,Bengali
Pursuit 154,Hollywood,1952,5.8,Zee Studios,325.07,2463.74,Millions,USD,Kannada
Parasite 155,Hollywood,1955,7.7,Columbia Pictures,356.63,728.26,Billions,USD,Telugu
Avatar 156,Bollywood,1958,8.7,Zee Studios,327.09,4019.84,Millions,INR,Bengali
Dilwale 157,Bollywood,2022,6.6,Yash Raj Films,270.91,2706.44,Billions,INR,Telugu
Parasite 158,Hollywood,1950,8.1,Paramount,114.83,248.5,Millions,USD,Telugu
Jurassic Park 159,Bollywood,1965,8.2,Universal,376.29,3564.13,Billions,INR,Kannada
Godfather 160,Hollywood,2004,8.4,Dharma Productions,444.75,1445.06,Billions,USD,Bengali
Taare Zameen 161,Hollywood,1989,5.6,Yash Raj Films,183.89,1680.64,Millions,USD,English
Doctor Str 162,Hollywood,2008,6.0,Paramount,192.35,1422.33,Millions,USD,Hindi
Thor 163,Bollywood,1957,7.1,Yash Raj Films,111.59,427.28,Millions,INR,Telugu
Thor 164,Bollywood,1957,9.2,DVV Entertainment,345.22,4485.03,Millions,INR,Hindi
KGF 165,Hollywood,1984,7.6,Zee Studios,474.34,4993.56,Millions,USD,Hindi
Thor 166,Hollywood,2008,5.6,Zee Studios,491.7,4309.12,Billions,USD,Hindi
Pathar P 167,Bollywood,1953,9.5,Dharma Productions,325.5,1850.49,Billions,INR,Hindi
Gladiator 168,Hollywood,1992,6.2,Zee Studios,470.41,3705.2,Billions,USD,Hindi
Sanju 169,Bollywood,2020,8.3,Paramount,484.7,276.01,Billions,INR,English
Taare Zameen 170,Bollywood,2008,8.0,Warner Bros,326.69,4426.98,Millions,INR,Hindi
Dilwale 171,Hollywood,1993,7.4,Columbia Pictures,407.44,3162.08,Billions,USD,English
Shawshank 172,Hollywood,1958,6.4,Universal,260.03,4655.85,Billions,USD,Bengali
Kabhi Khushi 173,Hollywood,1950,6.2,Dharma Productions,99.25,2680.05,Billions,USD,Bengali
Dilwale 174,Hollywood,1990,8.4,DVV Entertainment,472.69,4125.13,Billions,USD,English
Avatar 175,Hollywood,1972,5.9,Liberty Films,147.33,2925.31,Millions,USD,English
Pursuit 176,Bollywood,1961,7.1,Universal,450.37,2143.43,Billions,INR,English
Thor 177,Bollywood,1952,5.5,Yash Raj Films,328.49,3289.08,Billions,INR,Bengali
Pursuit 178,Bollywood,1950,6.6,Yash Raj Films,399.59,2805.01,Millions,INR,Kannada
Bajirao 179,Bollywood,2013,9.0,Dharma Productions,473.42,502.77,Billions,INR,Bengali
RRR 180,Bollywood,2013,5.0,Liberty Films,65.89,2056.26,Billions,INR,Hindi
Pathar P 181,Hollywood,1960,9.0,Columbia Pictures,404.17,959.29,Millions,USD,Hindi
Pathar P 182,Hollywood,1974,8.0,Marvel Studios,31.88,2816.11,Millions,USD,Hindi
Schindler 183,Bollywood,1979,6.7,Yash Raj Films,148.73,1906.27,Billions,INR,Hindi
Dilwale 184,Bollywood,1999,5.3,Paramount,52.41,1728.0,Billions,INR,Kannada
Munna Bhai 185,Bollywood,1967,9.3,Paramount,59.34,4788.77,Millions,INR,Telugu
KGF 186,Bollywood,1979,7.7,Warner Bros,243.07,2278.36,Billions,INR,Bengali
Munna Bhai 187,Hollywood,1955,7.2,Yash Raj Films,343.06,3003.54,Billions,USD,Bengali
Jurassic Park 188,Hollywood,1974,9.2,Dharma Productions,260.48,2540.18,Millions,USD,Telugu
Parasite 189,Bollywood,1995,7.1,Columbia Pictures,484.1,1395.04,Millions,INR,Hindi
Doctor Str 190,Hollywood,1988,5.0,Dharma Productions,405.51,2966.79,Millions,USD,Bengali
Interstellar 191,Hollywood,1961,5.9,Paramount,135.78,2033.55,Billions,USD,Bengali
Captain America 192,Hollywood,2016,6.7,Columbia Pictures,332.05,3923.54,Millions,USD,English
Parasite 193,Bollywood,2008,7.3,Zee Studios,122.5,638.27,Millions,INR,English
Avatar 194,Hollywood,2017,5.1,Columbia Pictures,132.62,2145.89,Billions,USD,Telugu
Captain America 195,Bollywood,2013,8.4,Yash Raj Films,491.82,1710.39,Billions,INR,Hindi
Kabhi Khushi 196,Bollywood,2011,8.4,Yash Raj Films,283.83,4290.03,Millions,INR,English
Sanju 197,Bollywood,1955,6.6,Zee Studios,133.76,146.19,Billions,INR,Hindi
Avengers 198,Bollywood,2006,9.2,Columbia Pictures,316.73,634.75,Millions,INR,Telugu
Avengers 199,Bollywood,1950,9.0,Paramount,350.14,2180.42,Billions,INR,Hindi
Taare Zameen 200,Bollywood,1972,5.1,Warner Bros,177.93,3278.0,Millions,INR,Bengali
Kabhi Khushi 201,Bollywood,1978,9.3,Universal,123.21,2591.3,Billions,INR,Telugu
Avatar 202,Hollywood,1951,6.5,Dharma Productions,329.1,1804.73,Millions,USD,Hindi
KGF 203,Bollywood,1968,7.1,Paramount,167.98,2346.04,Billions,INR,Bengali
Jurassic Park 204,Bollywood,1997,6.1,Liberty Films,370.85,2694.03,Billions,INR,Telugu
Sanju 205,Bollywood,1993,6.9,Dharma Productions,491.94,4803.66,Millions,INR,Hindi
Doctor Str 206,Hollywood,1991,7.3,Zee Studios,110.8,775.37,Millions,USD,Telugu
Doctor Str 207,Bollywood,2018,7.6,Zee Studios,6.83,2531.5,Millions,INR,Telugu
PK 208,Bollywood,1975,6.3,Liberty Films,213.39,4249.4,Billions,INR,Telugu
Titanic 209,Hollywood,1950,8.8,Columbia Pictures,100.21,3265.15,Billions,USD,English
Pursuit 210,Bollywood,2000,6.2,Columbia Pictures,110.61,3110.65,Billions,INR,Telugu
Pursuit 211,Bollywood,1982,8.9,Zee Studios,446.05,4124.3,Billions,INR,Telugu
Interstellar 212,Hollywood,1966,9.4,Marvel Studios,270.56,658.87,Billions,USD,Bengali
Pushpa 213,Bollywood,1975,7.3,Yash Raj Films,226.04,2952.04,Billions,INR,Telugu
Captain America 214,Bollywood,1992,9.1,Dharma Productions,496.06,3979.38,Billions,INR,Kannada
Pathar P 215,Bollywood,2022,7.7,Warner Bros,224.16,1499.22,Billions,INR,Hindi
Avengers 216,Bollywood,1962,6.0,Paramount,5.0,2758.6,Billions,INR,Hindi
Taare Zameen 217,Bollywood,1989,6.2,Zee Studios,372.43,4845.91,Billions,INR,Kannada
Taare Zameen 218,Hollywood,1965,8.0,Dharma Productions,393.92,2682.3,Billions,USD,Hindi
3 Idiots 219,Bollywood,1981,6.6,Universal,375.78,1472.3,Millions,INR,Telugu
Sanju 220,Bollywood,1969,5.6,Dharma Productions,431.95,4210.2,Billions,INR,Hindi
PK 221,Hollywood,1966,5.3,Warner Bros,395.29,3548.13,Millions,USD,Kannada
Kabhi Khushi 222,Bollywood,2003,9.0,Universal,377.74,1855.78,Billions,INR,English
Dark Knight 223,Hollywood,1958,8.1,Warner Bros,232.99,1654.76,Millions,USD,English
Pathar P 224,Hollywood,1993,8.7,Paramount,364.01,2326.77,Billions,USD,Hindi
Parasite 225,Bollywood,2016,8.3,Dharma Productions,432.2,2084.94,Millions,INR,English
KGF 226,Hollywood,2005,6.0,Marvel Studios,425.62,4655.76,Billions,USD,Bengali
Parasite 227,Hollywood,2022,8.1,Zee Studios,421.41,3186.52,Millions,USD,Hindi
Captain America 228,Bollywood,2011,6.0,Columbia Pictures,413.84,2971.59,Billions,INR,Hindi
PK 229,Bollywood,1981,7.1,Universal,84.03,2868.4,Millions,INR,Kannada
Avengers 230,Hollywood,1970,8.4,DVV Entertainment,348.54,2302.81,Millions,USD,Bengali
PK 231,Bollywood,1991,5.4,Paramount,19.48,2010.57,Billions,INR,English
Parasite 232,Bollywood,2014,7.2,Dharma Productions,467.97,4753.3,Billions,INR,Bengali
Thor 233,Bollywood,2016,5.8,Paramount,491.45,1450.03,Millions,INR,Telugu
PK 234,Hollywood,2017,5.7,Warner Bros,265.25,3184.89,Billions,USD,Telugu
3 Idiots 235,Bollywood,2020,9.3,DVV Entertainment,132.03,2273.77,Millions,INR,Kannada
Taare Zameen 236,Bollywood,1964,7.9,Columbia Pictures,27.31,2799.04,Millions,INR,English
Munna Bhai 237,Hollywood,2019,6.2,Yash Raj Films,16.12,4798.39,Millions,USD,Hindi
Shawshank 238,Bollywood,1961,8.7,Universal,482.16,1052.77,Billions,INR,Bengali
KGF 239,Hollywood,1962,5.2,Universal,438.16,1487.46,Billions,USD,Hindi
Schindler 240,Hollywood,1968,6.7,Dharma Productions,2.92,950.33,Millions,USD,Kannada
Kabhi Khushi 241,Bollywood,1993,8.4,Universal,442.11,4566.64,Billions,INR,Bengali
Titanic 242,Bollywood,2012,6.3,Paramount,383.94,2118.84,Millions,INR,Telugu
Titanic 243,Hollywood,1991,7.6,Universal,212.1,3180.4,Millions,USD,Kannada
Kabhi Khushi 244,Bollywood,2005,5.1,Warner Bros,2.74,3403.87,Billions,INR,Telugu
Jurassic Park 245,Bollywood,1979,6.4,Universal,186.95,184.42,Millions,INR,Kannada
Jurassic Park 246,Hollywood,1998,9.2,Paramount,456.97,2580.76,Millions,USD,English
Doctor Str 247,Bollywood,2000,6.2,Liberty Films,376.73,2085.13,Millions,INR,Kannada
RRR 248,Hollywood,1973,6.7,Yash Raj Films,104.68,1245.8,Millions,USD,Bengali
3 Idiots 249,Bollywood,2021,9.2,Dharma Productions,175.74,3059.76,Billions,INR,Hindi
RRR 250,Bollywood,1973,7.3,Universal,419.43,630.83,Billions,INR,Hindi
3 Idiots 251,Hollywood,2018,5.8,Marvel Studios,203.26,4054.11,Billions,USD,Hindi
Titanic 252,Hollywood,1976,8.9,Paramount,457.56,2780.03,Millions,USD,Telugu
Jurassic Park 253,Bollywood,2016,7.4,Columbia Pictures,386.24,1485.66,Millions,INR,Kannada
Captain America 254,Bollywood,2006,8.6,DVV Entertainment,323.89,4163.07,Billions,INR,Bengali
Parasite 255,Bollywood,1958,6.0,Zee Studios,9.94,4327.81,Billions,INR,Telugu
KGF 256,Hollywood,2005,8.1,Paramount,489.1,2767.29,Millions,USD,English
Pursuit 257,Bollywood,1966,6.2,Zee Studios,495.59,4920.86,Millions,INR,Kannada
Avatar 258,Hollywood,1989,8.5,Warner Bros,17.56,3997.69,Billions,USD,Telugu
Captain America 259,Bollywood,2016,6.1,Zee Studios,446.06,821.55,Billions,INR,Hindi
RRR 260,Hollywood,1989,8.2,Columbia Pictures,83.91,2630.17,Billions,USD,English
Shawshank 261,Bollywood,1986,7.3,Universal,364.99,4515.66,Billions,INR,Bengali
Sanju 262,Bollywood,2008,5.1,Warner Bros,486.08,4365.23,Billions,INR,Bengali
Doctor Str 263,Bollywood,1951,5.0,Dharma Productions,415.82,423.13,Billions,INR,Kannada
Interstellar 264,Bollywood,2019,8.2,Warner Bros,106.59,3954.58,Millions,INR,Telugu
Thor 265,Hollywood,2001,5.3,Zee Studios,112.05,549.05,Billions,USD,Kannada
Captain America 266,Hollywood,1955,5.2,Zee Studios,118.91,4457.82,Millions,USD,Hindi
Pursuit 267,Bollywood,1984,6.7,Warner Bros,184.56,2670.53,Billions,INR,English
Dark Knight 268,Bollywood,1983,5.1,DVV Entertainment,87.8,2381.91,Millions,INR,Telugu
Shawshank 269,Bollywood,1974,6.9,Universal,248.63,2361.52,Millions,INR,Kannada
Interstellar 270,Bollywood,1971,7.7,Paramount,238.62,1854.59,Millions,INR,English
Avengers 271,Bollywood,2010,7.3,Paramount,61.91,4910.45,Millions,INR,Telugu
Thor 272,Hollywood,1973,7.6,Warner Bros,334.76,963.06,Millions,USD,Bengali
Godfather 273,Bollywood,2009,6.2,Zee Studios,38.67,1930.49,Millions,INR,Hindi
Pushpa 274,Bollywood,1952,6.2,Universal,459.93,231.25,Billions,INR,Telugu
Godfather 275,Hollywood,1967,6.2,Liberty Films,156.93,3367.91,Billions,USD,Telugu
Pursuit 276,Bollywood,2014,7.3,Marvel Studios,305.43,1118.4,Billions,INR,Bengali
PK 277,Hollywood,2011,6.2,Warner Bros,433.1,4917.16,Billions,USD,English
Kabhi Khushi 278,Bollywood,1954,6.1,Marvel Studios,365.05,957.17,Billions,INR,Telugu
Avatar 279,Bollywood,1983,6.4,Liberty Films,369.32,739.6,Billions,INR,Telugu
Godfather 280,Bollywood,1991,5.6,Liberty Films,159.23,46.54,Billions,INR,Telugu
Godfather 281,Hollywood,2014,6.3,Universal,6.42,4623.26,Billions,USD,Telugu
Pushpa 282,Bollywood,2010,7.7,Zee Studios,380.82,72.51,Billions,INR,English
Pushpa 283,Bollywood,2006,6.6,Zee Studios,303.83,4294.9,Billions,INR,Bengali
Avengers 284,Hollywood,2008,8.8,Dharma Productions,188.8,2260.99,Billions,USD,English
RRR 285,Bollywood,2008,6.0,Paramount,45.97,2182.26,Millions,INR,Hindi
3 Idiots 286,Bollywood,2018,7.4,Marvel Studios,384.66,2432.73,Millions,INR,Bengali
Avatar 287,Bollywood,1987,7.8,Yash Raj Films,395.48,3482.57,Billions,INR,Telugu
Taare Zameen 288,Hollywood,1997,6.1,Zee Studios,223.76,3048.15,Billions,USD,Hindi
