title,industry,release_year,imdb_rating,studio,budget,revenue,unit,currency,language
Shawshank 96,,1974,8.8,Yash Raj Films,275.71,237.19,,USD,
Pursuit47,Hollywood,1971,8.4,Zee Studios,446.71,2521.34,Billions,INR,Hindi
Kabhi Khushi56,Hollywood,,6.4,,404.95,2591.2,,USD,English
Gladiator181,,2008,6.1,Marvel Studios,404.95,3665.38,Billions,INR,Kannada
Jurassic Park28,,,7.3,,444.13M,263.5,Billions,INR,Hindi
KGF10,,,N/A,,188.87,,Millions,INR,Hindi
Sanju44,,,9.0,Warner Bros,379.59,2399.21,Billions,USD,Bengali
Avatar183,,,5.2,,57.7,1114.62,Billions,USD,Bengali
Thor122,,1956,7.2,Zee Studios,319.65,648.72,Millions,INR,Hindi
Jurassic Park190,,1979,5.6,Yash Raj Films,481.3,2070.82,Millions,INR,Bengali
Bajirao45,Bollywood,2014,,,487.53,1.86B,,USD,Kannada
RRR 7,,1975,5.6,,64.35,1645.19,Billions,INR,Bengali
Parasite 14,Hollywood,1952,5.0,Columbia Pictures,,4060.02,Billions,INR,
Schindler189,,,8.1,Yash Raj Films,136.64,2499.79,,INR,English
Doctor Strange194,Hollywood,,7.7,Zee Studios,269.25,1758.39,Millions,USD,English
Pathar P182,,1999,6.9,Columbia Pictures,-35.69,287.66,,INR,Bengali
RRR99,,,9.0,Marvel Studios,7.77,1871.96,Billions,USD,English
3 Idiots88,,1981,8.5,Zee Studios,153.35,4973.62,Billions,INR,Hindi
Jurassic Park 60,Bollywood,1962,8.9,Marvel Studios,300.48,1812.36,Millions,INR,Telugu
Dilwale11,Bollywood,2007,7.4,Marvel Studios,29.29,1079.31,Billions,USD,Hindi
Taare Zameen131,,2006,6.3,Columbia Pictures,270.45,3893.44,Millions,INR,
PK33,,1993,9.4,Zee Studios,466.96,2871.63,Billions,USD,Kannada
Interstellar95,,1999,5.7,Zee Studios,130.95,4989.3,,INR,Hindi
Interstellar14,,1997,9.3,Dharma Productions,413.35,1668.94,Billions,USD,
Titanic97,Hollywood,2014,6.8,Universal,234.83,91.18,Billions,INR,Kannada
Taare Zameen 80,Bollywood,,6.7,,290.42,1216.11,Millions,INR,Kannada
Pushpa148,Bollywood,2019,N/A,Warner Bros,335.75,4958.02,Millions,USD,
3 Idiots93,Bollywood,2012,N/A,Paramount,262.21,3154.78,,USD,
Interstellar 1,,,N/A,Yash Raj Films,412.11,395.34,Billions,INR,English
Gladiator54,Hollywood,1970,6.9,DVV Entertainment,380.5,3698.73,,INR,Hindi
Schindler 37,Bollywood,2000,7.6,DVV Entertainment,34.29,,Billions,INR,Telugu
Pushpa 200,,1956,N/A,,144.09,641.49,Billions,USD,
Sanju179,,2006,6.6,Zee Studios,-168.78,2622.86,,USD,Bengali
Godfather43,Bollywood,,N/A,,,4925.48,,USD,Kannada
Godfather136,Hollywood,1992,6.4,Universal,358.63,1984.88,,INR,
Interstellar 135,,2010,8.9,Yash Raj Films,228.44,2683.78,,USD,Hindi
Dark Knight 110,,2012,5.8,Zee Studios,,1109.56,,INR,Kannada
Pursuit195,,1986,6.4,,442.28,119.11,,USD,Hindi
Doctor Strange 161,Bollywood,1978,6.1,Zee Studios,70.08,2332.94,Billions,INR,English
Godfather91,,,5.2,Warner Bros,159.42,792.99,Millions,INR,
Jurassic Park 4,Bollywood,,8.2,Warner Bros,197.38,3100.49,Millions,USD,Bengali
RRR 177,Bollywood,1970,,Paramount,190.59,2502.38,,INR,
Avengers35,Bollywood,,5.0,Marvel Studios,,3882.45,,INR,Bengali
Doctor Strange102,,1986,8.2,Dharma Productions,,191.82,Millions,INR,Hindi
Titanic57,,1979,,,498.41,267.86,,INR,Bengali
Doctor Strange 106,,2016,5.0,Columbia Pictures,158.13,1.89B,,INR,
Avengers52,Hollywood,,5.7,Dharma Productions,404.87,248.66,,USD,Kannada
Shawshank140,Bollywood,2007,9.0,Dharma Productions,314.74,3577.08,Billions,INR,Telugu
Doctor Strange154,Bollywood,1994,8.9,Dharma Productions,171.98,1338.77,,INR,Hindi
Pushpa 126,Hollywood,2000,7.4,Paramount,298.34,3271.5,,USD,Kannada
Pursuit54,Hollywood,1951,8.9,Marvel Studios,302.65,4147.19,Millions,USD,Hindi
PK2,Bollywood,,6.4,DVV Entertainment,25.64,2088.76,,INR,Kannada
Avengers190,,1957,5.1,Zee Studios,387.29,4255.63,,INR,English
Avengers71,,1975,6.5,,-118.14,3651.78,Billions,USD,Telugu
Avengers130,Hollywood,2009,6.5,DVV Entertainment,308.97,4499.03,Billions,INR,English
Pursuit 100,Hollywood,1986,5.1,Warner Bros,124.24M,2215.37,,USD,Hindi
Titanic91,Bollywood,1968,9.0,,144.45,4620.92,Millions,INR,English
Avatar89,,1961,7.7,Dharma Productions,359.33,3260.21,Millions,USD,Bengali
Avengers129,,1961,9.0,Paramount,308.0,2263.29,,USD,
RRR 61,,,N/A,Universal,256.36,9.67B,,USD,English
Godfather33,,1994,8.6,Columbia Pictures,243.5,4859.69,,USD,English
Bajirao197,Hollywood,,9.2,Yash Raj Films,94.63,2803.55,,USD,Kannada
Captain America96,,,8.2,Marvel Studios,191.81,4562.21,,USD,Telugu
Schindler2,Hollywood,1951,5.1,,262.86,3187.47,Millions,INR,Bengali
Pursuit15,Bollywood,,6.9,Yash Raj Films,120.44M,4322.17,,USD,Hindi
Doctor Strange118,,2020,5.7,,144.76,4537.89,Millions,USD,English
Doctor Strange143,,1975,5.6,Zee Studios,204.52,3791.88,Millions,USD,
Avengers13,Hollywood,2002,7.3,Paramount,391.53,1303.81,,USD,English
Pursuit150,Hollywood,1992,5.9,Warner Bros,151.6,944.6,,INR,Kannada
Doctor Strange52,,,9.4,Columbia Pictures,72.35,4115.27,,INR,
PK102,Hollywood,1958,6.5,Columbia Pictures,374.62,1949.44,,INR,Bengali
RRR199,Bollywood,1991,7.6,Yash Raj Films,69.44,4063.4,Billions,INR,
Shawshank54,,1969,7.0,,397.01M,1358.14,,USD,Kannada
Dilwale76,Bollywood,1997,6.3,Columbia Pictures,73.03,,Millions,USD,Hindi
Schindler158,Hollywood,2021,5.0,Universal,224.95,258.51,,USD,Bengali
Parasite34,Bollywood,1986,8.9,Paramount,450.91,1707.22,,INR,Bengali
Avengers95,Bollywood,1996,8.4,Warner Bros,128.26,1989.34,Billions,USD,
Pathar P84,Bollywood,1997,6.6,Warner Bros,,,,INR,Kannada
Pathar P116,Bollywood,2016,N/A,,164.79,,Millions,USD,Hindi
Jurassic Park142,Hollywood,1955,N/A,Paramount,173.47,3068.74,,INR,
Schindler111,,1982,8.9,Columbia Pictures,349.17,811.65,Billions,USD,Kannada
Interstellar71,Bollywood,,5.3,,192.85,3966.87,,USD,Telugu
Avatar73,,1951,7.1,,,4470.49,Billions,USD,English
Pushpa14,Hollywood,,5.8,Marvel Studios,147.26,3040.92,Billions,USD,
Pushpa137,Bollywood,2021,9.0,,378.54M,2902.57,,INR,Bengali
Pursuit96,,,N/A,Universal,340.56,4404.93,Billions,USD,
Dark Knight51,Hollywood,1999,8.5,Columbia Pictures,435.33,8.05B,Billions,USD,Telugu
Avengers129,,1961,9.0,Paramount,308.0,2263.29,,USD,
Thor99,Bollywood,,9.3,Warner Bros,274.83,1133.45,,USD,Hindi
Thor 25,Hollywood,1976,,Dharma Productions,224.06,447.47,Billions,INR,Kannada
Interstellar130,Hollywood,2012,8.3,Paramount,17.67,1821.59,,INR,Telugu
Parasite 14,Hollywood,1952,5.0,Columbia Pictures,,4060.02,Billions,INR,
Thor187,,1998,7.6,Paramount,341.01,4017.31,Millions,USD,
Thor16,Hollywood,1993,9.3,Universal,205.42,7.04B,,USD,Kannada
Pathar P180,,2000,7.9,Columbia Pictures,79.8,845.39,,INR,English
Interstellar22,,2015,8.4,Universal,217.41M,3375.72,Billions,INR,
Godfather132,,,6.9,Zee Studios,197.76,1035.03,,INR,Telugu
Doctor Strange141,,1974,9.4,,301.94,7.73B,Millions,INR,Bengali
Dark Knight104,,,8.7,Paramount,139.38,3905.6,,INR,
Gladiator2,,1971,6.1,DVV Entertainment,111.39,9.64B,,INR,Telugu
Munna Bhai196,,,N/A,Yash Raj Films,189.97,165.41,,USD,Kannada
Avatar14,Hollywood,,5.7,Paramount,345.33,3710.4,Millions,INR,
Captain America151,,2002,5.8,,297.94,2757.38,,USD,Kannada
Godfather7,,,6.9,Yash Raj Films,286.29,400.16,Millions,USD,Hindi
Dark Knight198,Hollywood,,5.6,Marvel Studios,,3924.95,,USD,Hindi
Gladiator50,,,5.7,Columbia Pictures,311.1,4582.05,,USD,Hindi
Interstellar28,,,5.7,Columbia Pictures,138.62,2812.62,Millions,INR,English
Titanic25,,1973,7.1,,15.95,1227.43,Millions,INR,English
Shawshank177,,1978,5.4,Paramount,57.28,4365.75,,INR,Telugu
Thor9,,1975,7.4,Dharma Productions,210.45,3939.86,,USD,Kannada
PK107,,1971,8.3,Columbia Pictures,300.76,1462.3,Billions,USD,Bengali
Kabhi Khushi18,,,9.2,,321.87,767.41,Billions,USD,Bengali
Doctor Strange52,,,8.6,Zee Studios,447.13,475.73,Millions,USD,
Captain America 176,,1961,7.8,Zee Studios,333.52,2525.15,Millions,INR,Kannada
Pathar P 22,Bollywood,1956,,Yash Raj Films,276.1,777.53,Millions,INR,English
Gladiator181,Hollywood,,8.7,Dharma Productions,182.12,3746.34,Billions,USD,Telugu
Godfather140,,2022,6.3,DVV Entertainment,374.44,580.19,Billions,USD,Kannada
Sanju151,,2022,N/A,Dharma Productions,194.03M,951.81,Billions,USD,Telugu
Pursuit28,Hollywood,2010,6.2,Warner Bros,189.41,1791.26,,INR,
Thor 5,Bollywood,,7.8,Dharma Productions,276.41,3181.07,,USD,Kannada
KGF68,Hollywood,2020,9.1,,255.38M,2533.46,,INR,English
KGF53,,1988,6.7,Universal,226.23,4040.86,,INR,
Titanic144,,,6.5,Paramount,381.24,2396.49,,INR,Telugu
Pursuit158,Bollywood,1956,8.0,,257.45,731.72,,USD,
KGF191,Bollywood,1971,N/A,Warner Bros,-129.3,1520.48,Millions,USD,
3 Idiots89,Bollywood,1965,6.9,Warner Bros,227.24,1.25B,,INR,Telugu
Bajirao173,,2016,6.4,,76.89,6.29B,,USD,Telugu
Sanju112,,1956,5.2,Warner Bros,366.18,4234.39,Billions,INR,Hindi
Jurassic Park161,,2022,7.7,Marvel Studios,167.89,3200.86,Millions,USD,Kannada
KGF101,,1960,,Yash Raj Films,84.67,282.25,,USD,Kannada
Interstellar123,,1968,7.2,Paramount,198.55,3926.82,,USD,English
KGF 69,Bollywood,1960,6.9,Columbia Pictures,444.44,,Billions,INR,Hindi
Interstellar52,,1954,7.4,Zee Studios,148.98,3764.89,Billions,USD,Bengali
3 Idiots 189,,,7.3,,-312.35,1231.45,Millions,INR,Telugu
Avatar158,Bollywood,,6.7,DVV Entertainment,17.82,3856.03,,INR,
Pathar P 145,Hollywood,1953,5.2,Universal,32.19,4259.59,Billions,USD,Telugu
Dark Knight176,,1950,6.3,Columbia Pictures,377.61,678.8,,INR,Hindi
Pushpa 16,,1956,6.4,DVV Entertainment,479.72,4933.21,,INR,Kannada
Bajirao120,Bollywood,1991,9.4,Universal,,4276.55,,INR,English
Gladiator102,Hollywood,1955,6.3,Dharma Productions,-210.61,3354.63,,INR,Telugu
Pushpa146,Hollywood,1963,5.4,Zee Studios,459.23,3063.17,Millions,INR,
Schindler193,,1961,8.6,Warner Bros,230.88,327.51,,USD,
Interstellar28,,,5.7,Columbia Pictures,138.62,2812.62,Millions,INR,English
PK97,,1998,8.2,Warner Bros,138.16,290.36,,INR,Hindi
Pathar P33,Hollywood,,7.1,Dharma Productions,435.41,4294.42,Billions,INR,English
Dark Knight156,,1986,N/A,Dharma Productions,235.11M,4543.79,Billions,USD,Telugu
Interstellar 2,Hollywood,1975,6.2,,357.95,4913.56,,INR,
Godfather1,,1986,9.3,Warner Bros,28.76,2104.91,,USD,Telugu
Pushpa197,,1993,8.2,Dharma Productions,29.29,2928.56,,INR,
Godfather178,,,8.7,Paramount,477.51,1377.66,,USD,Bengali
Avengers56,,,9.1,Zee Studios,414.17,4025.65,,INR,Telugu
Captain America72,,2015,7.4,Marvel Studios,456.15,3334.82,Millions,USD,Telugu
3 Idiots9,,1982,7.5,,472.23,2361.36,Millions,INR,Telugu
Thor 58,,1984,5.1,Yash Raj Films,35.99,4854.93,,USD,Telugu
Pushpa110,,1976,7.0,Universal,287.27,3327.02,,USD,English
Avengers109,Bollywood,2013,9.2,Columbia Pictures,429.37,267.26,Millions,USD,Telugu
Sanju152,Hollywood,1984,8.6,Paramount,55.21,1137.37,Millions,INR,Telugu
Dark Knight 174,Bollywood,2008,6.2,Yash Raj Films,398.6,828.57,,USD,
3 Idiots154,,1984,7.3,Universal,166.24M,536.02,Millions,INR,Hindi
Doctor Strange 66,,,,Yash Raj Films,-362.23,3500.2,Billions,INR,
Kabhi Khushi166,,2018,7.3,DVV Entertainment,66.76,2223.35,,USD,Telugu
Pushpa115,Bollywood,,9.0,Paramount,146.74M,3508.89,Billions,USD,Telugu
PK195,,1957,9.2,Warner Bros,17.98,609.4,Millions,USD,Kannada
Gladiator 116,Bollywood,1961,8.1,Universal,157.84,1006.93,Millions,USD,
Pathar P76,Bollywood,,5.2,Marvel Studios,450.65,2512.04,Billions,USD,Telugu
Interstellar111,Bollywood,,7.4,Columbia Pictures,178.31,2.88B,,USD,Kannada
3 Idiots26,,1962,5.8,DVV Entertainment,311.36,7.42B,,INR,Telugu
Godfather151,Bollywood,,7.4,Dharma Productions,10.54M,222.07,,INR,Bengali
3 Idiots89,,1995,N/A,Warner Bros,21.0,1672.93,,INR,Telugu
Thor108,Hollywood,1957,7.8,DVV Entertainment,164.58,1719.09,,INR,Kannada
Gladiator2,,1971,6.1,DVV Entertainment,111.39,9.64B,,INR,Telugu
Thor 176,,,6.6,Warner Bros,289.46,1756.06,,USD,Telugu
Doctor Strange35,Bollywood,1996,6.2,Paramount,120.83M,2775.59,Millions,INR,Bengali
Kabhi Khushi115,,1973,5.2,Warner Bros,142.23M,3.77B,Millions,INR,Kannada
PK150,Hollywood,1998,N/A,Columbia Pictures,47.85,625.62,Millions,INR,
Parasite 81,Bollywood,1967,6.2,Columbia Pictures,-452.98,4543.1,Millions,USD,Telugu
RRR 10,Hollywood,,5.8,,426.74,4659.45,,INR,English
Sanju5,Hollywood,1975,6.8,Universal,121.71,4807.37,Billions,USD,English
Shawshank 192,Bollywood,,6.9,Yash Raj Films,410.9,812.79,,INR,English
PK39,Bollywood,1976,8.7,Zee Studios,406.0,4409.16,Billions,USD,Kannada
Jurassic Park 161,Hollywood,,7.5,Warner Bros,41.34,4232.25,,USD,Telugu
Captain America 193,,1995,N/A,Yash Raj Films,375.8M,1216.1,,INR,English
Gladiator14,,2022,8.8,Columbia Pictures,388.08,,Millions,USD,English
Sanju 123,,,5.5,Dharma Productions,348.39,2905.74,Billions,INR,Hindi
Titanic72,Bollywood,1957,7.2,Warner Bros,218.22,692.83,,INR,Bengali
PK197,Bollywood,,8.3,DVV Entertainment,480.63,4994.0,Billions,INR,Bengali
Doctor Strange89,Hollywood,1967,7.1,Warner Bros,327.84,2765.85,Millions,USD,
Jurassic Park135,,1975,7.0,DVV Entertainment,197.18,3903.78,Billions,INR,Bengali
Doctor Strange 194,,1984,9.5,Warner Bros,198.34,3023.24,Millions,USD,English
Avengers77,,,9.3,Warner Bros,199.55,3516.42,Millions,INR,Hindi
Sanju 119,Hollywood,2000,7.4,Warner Bros,300.55M,4758.82,,USD,Telugu
Jurassic Park131,,2015,,Marvel Studios,157.07,4556.73,Millions,USD,Kannada
RRR108,Hollywood,1979,6.7,Warner Bros,118.73,532.5,,INR,Kannada
Sanju147,,2009,5.3,,206.3,,,USD,
Captain America29,Hollywood,1960,8.1,Warner Bros,442.54,3228.26,Billions,USD,Telugu
KGF51,Hollywood,1964,8.8,Paramount,145.37,4217.66,Millions,INR,Telugu
Schindler77,,1998,7.6,Columbia Pictures,38.32M,550.42,Billions,INR,Kannada
Pathar P139,,2011,N/A,Marvel Studios,424.76,1548.0,,USD,Telugu
3 Idiots24,,1981,6.0,Yash Raj Films,307.85,,,USD,Bengali
Avatar193,,1964,8.0,,232.87,3238.49,Billions,USD,Telugu
Pursuit191,Bollywood,,N/A,Universal,193.8M,2357.12,,USD,Telugu
Avatar106,Hollywood,,9.0,Marvel Studios,271.6,,,USD,
Titanic7,Bollywood,1972,6.4,,181.71,2864.86,Billions,INR,Hindi
Parasite171,,2021,7.0,Zee Studios,12.88M,,,USD,Kannada
Dilwale91,Bollywood,1953,7.7,Dharma Productions,361.26,2119.71,,INR,
3 Idiots184,Hollywood,2000,8.8,,213.28,3260.6,Billions,USD,
RRR186,,2001,8.3,DVV Entertainment,166.47,4297.15,,USD,Bengali
Pursuit59,Hollywood,,N/A,Paramount,62.86,3562.34,Millions,USD,Hindi
Dilwale 133,Bollywood,,7.9,Columbia Pictures,463.95,4095.14,Millions,USD,Bengali
Sanju 167,Hollywood,1999,8.1,Columbia Pictures,456.0,1757.67,,USD,Kannada
3 Idiots 173,,,7.8,,379.6,3688.35,,INR,English
Munna Bhai195,,,9.1,,316.9,4302.44,,USD,
Pushpa 3,,1990,9.5,Yash Raj Films,308.81,268.15,Millions,USD,
Gladiator164,,,5.8,Zee Studios,41.03M,2248.21,,INR,
Parasite89,Hollywood,1962,N/A,Paramount,241.34,1843.44,,INR,
Doctor Strange94,Hollywood,1973,6.6,DVV Entertainment,83.74,1554.37,,INR,
PK56,Bollywood,2004,5.7,Universal,279.29,4503.88,,USD,Hindi
Avengers 141,,,8.0,DVV Entertainment,178.62,1301.72,,INR,English
Schindler164,,,8.4,Marvel Studios,302.4,4118.76,,INR,
Shawshank190,,1988,7.2,,499.95,2184.96,Billions,INR,Telugu
Thor19,,2000,6.7,Warner Bros,332.29,4302.96,,INR,
Pushpa 156,Bollywood,2015,6.8,,248.26M,2569.58,,INR,English
Pursuit122,Bollywood,,7.9,Zee Studios,92.66,3406.44,,INR,Bengali
Doctor Strange178,,,8.6,Universal,446.83,4176.58,Millions,INR,
Dark Knight37,,1982,6.2,DVV Entertainment,199.25,685.17,Billions,USD,Telugu
Avatar143,Bollywood,2008,5.9,Dharma Productions,70.52M,322.68,,INR,Telugu
RRR145,,,5.6,Warner Bros,297.33M,1033.29,Billions,USD,Telugu
Munna Bhai120,Hollywood,,,Dharma Productions,,816.38,Millions,INR,Bengali
Pushpa200,,1971,9.2,Marvel Studios,106.51,56.68,Billions,USD,English
Dark Knight 114,Bollywood,1952,N/A,Warner Bros,47.22,2779.65,,INR,
Bajirao100,,,5.7,Paramount,405.05,1013.74,,INR,Telugu
Avatar96,,1958,7.5,,136.6,2460.13,Billions,USD,Bengali
Gladiator167,Hollywood,,7.1,Yash Raj Films,25.88,4494.37,,INR,English
Dilwale193,Hollywood,,5.8,Warner Bros,49.65,4979.23,Millions,USD,Bengali
Pushpa122,,,8.6,Zee Studios,463.85,3055.19,,INR,Hindi
Pathar P34,Bollywood,1999,8.8,Yash Raj Films,297.48,444.92,Millions,USD,Kannada
Titanic162,,1991,8.7,Paramount,472.34,831.42,,INR,Kannada
Titanic67,Bollywood,,8.6,Marvel Studios,75.97,8.39B,Millions,USD,Telugu
Pushpa60,Bollywood,,8.0,Yash Raj Films,172.68,1625.64,,INR,English
Thor145,,2023,9.4,Paramount,457.56,2156.99,Billions,INR,
Sanju129,,1978,7.4,Dharma Productions,400.67,1029.49,,USD,
Gladiator54,Hollywood,1970,6.9,DVV Entertainment,380.5,3698.73,,INR,Hindi
Interstellar82,,1995,8.7,Zee Studios,311.35,1.63B,Millions,USD,Hindi
Munna Bhai 34,,1972,6.5,Paramount,-148.04,3268.94,,USD,Bengali
Sanju 152,,,5.4,Marvel Studios,100.21,3691.69,,INR,Telugu
PK 148,,2016,8.8,Dharma Productions,244.69,3686.16,Millions,INR,Telugu
Avengers56,,1950,5.7,,31.57M,2083.13,Billions,INR,Kannada
Kabhi Khushi138,Bollywood,1962,9.4,DVV Entertainment,499.61,126.54,Billions,INR,
Avengers110,Hollywood,1996,8.4,Zee Studios,319.79,864.85,Billions,INR,English
Sanju 46,Bollywood,,5.1,Paramount,310.62,3109.91,,INR,Kannada
Pushpa107,,1998,8.6,Paramount,32.34,1.05B,Millions,INR,Kannada
3 Idiots97,Bollywood,,8.6,Yash Raj Films,397.23,1278.23,,USD,Hindi
Captain America 25,Hollywood,,8.4,Columbia Pictures,9.93,1611.81,Billions,USD,Bengali
Kabhi Khushi151,,1952,6.9,DVV Entertainment,323.26,2288.34,Millions,USD,
Thor55,Hollywood,,6.1,Dharma Productions,477.51,4061.25,Billions,USD,Bengali
Thor38,Hollywood,,5.3,Zee Studios,443.43,3695.18,,INR,Kannada
Munna Bhai55,,,8.8,Warner Bros,394.96,447.98,Millions,INR,
Taare Zameen 115,,1954,5.6,Columbia Pictures,393.53,3722.53,Millions,INR,English
Jurassic Park95,Bollywood,,9.0,Warner Bros,98.46,2663.78,Billions,USD,
Shawshank140,Bollywood,2007,9.0,Dharma Productions,314.74,3577.08,Billions,INR,Telugu
Bajirao 131,,2010,6.1,,331.38,7.51B,,INR,Bengali
RRR 123,,1994,,Dharma Productions,360.74,3019.62,Millions,INR,Kannada
Munna Bhai126,Hollywood,1954,,Dharma Productions,148.65,2423.7,Billions,INR,English
Captain America83,Bollywood,2012,7.5,,66.31,1590.55,Billions,INR,Hindi
Thor 17,Bollywood,1999,9.5,,279.56,793.52,,INR,Telugu
Avengers46,,1963,7.2,DVV Entertainment,-302.48,1673.41,,INR,Bengali
Interstellar113,,1985,5.6,DVV Entertainment,45.76,2904.54,,INR,Bengali
RRR108,,2021,8.3,Dharma Productions,88.46,1403.89,Billions,INR,Kannada
Schindler36,Bollywood,2019,6.3,Paramount,383.83,3114.22,,INR,
Dark Knight12,,1973,5.8,Yash Raj Films,-212.81,4603.76,Billions,USD,English
3 Idiots147,Hollywood,,6.4,,405.71,2766.85,,USD,
Jurassic Park167,,1989,,,417.42,7.24B,,INR,Bengali
Pathar P82,Hollywood,2021,N/A,Dharma Productions,,2164.35,Billions,USD,Hindi
Parasite94,Hollywood,1958,8.5,,15.3M,397.39,,INR,Hindi
Pushpa8,,,5.3,Paramount,344.09,4962.49,,USD,English
Godfather150,,,8.3,Dharma Productions,436.3,2711.19,,USD,
Interstellar173,,,8.9,Zee Studios,461.07,1214.65,Millions,USD,Telugu
3 Idiots4,,1997,7.8,Columbia Pictures,1.51,2641.94,,INR,Kannada
Pushpa141,,2001,N/A,Warner Bros,204.18,671.24,Millions,INR,
Doctor Strange 5,,2015,6.1,DVV Entertainment,203.31,3087.49,,USD,English
Avatar5,,1961,8.5,Columbia Pictures,347.93,3711.54,,INR,Kannada
Jurassic Park1,Bollywood,2020,9.0,Universal,334.63,2592.67,Millions,USD,English
Shawshank 48,Bollywood,1966,5.1,DVV Entertainment,109.83,2.99B,,INR,
Interstellar57,Hollywood,1975,9.1,Yash Raj Films,93.73,1806.53,Billions,USD,Hindi
3 Idiots57,Hollywood,2011,7.8,Marvel Studios,303.41,820.89,Millions,INR,Kannada
Doctor Strange117,,1993,7.7,Warner Bros,195.86,3696.24,Billions,INR,English
KGF70,,2020,9.0,,202.75,4190.64,Billions,USD,
Avatar154,,1961,5.4,Warner Bros,351.33,4297.72,Billions,USD,Telugu
Bajirao172,Hollywood,,6.7,,259.52,1184.5,Millions,USD,
Titanic22,,2005,,Paramount,305.81,1502.41,Billions,USD,
Sanju 38,Bollywood,,7.1,Warner Bros,43.61,,Billions,USD,Kannada
Pushpa1,Hollywood,,6.6,Paramount,321.83,2.16B,,USD,English
Gladiator8,,1986,5.8,Marvel Studios,97.94,1489.9,Millions,INR,English
Pursuit193,Bollywood,,,Zee Studios,449.82,2871.83,Billions,INR,Kannada
Dark Knight173,,,5.3,Columbia Pictures,10.19,3372.68,,INR,Bengali
Taare Zameen29,,1985,7.3,Dharma Productions,96.63,2953.07,,USD,Hindi
RRR66,,1992,N/A,Paramount,42.43,,,INR,
Schindler64,,1964,5.8,Marvel Studios,71.59,4295.56,,INR,
KGF148,,,7.6,,-149.62,,,USD,Kannada
PK132,,,6.7,Warner Bros,467.19,716.6,,INR,Bengali
Pushpa 5,,1978,7.7,Columbia Pictures,210.62,1090.15,Millions,USD,
Shawshank68,,,5.7,Universal,173.53M,3927.22,Billions,USD,English
KGF198,Hollywood,,6.8,Paramount,223.11,2266.27,,USD,
Munna Bhai143,Hollywood,1983,6.4,Yash Raj Films,495.81,1625.93,,USD,Kannada
Schindler83,Hollywood,1964,N/A,Dharma Productions,220.29,3054.36,,INR,Bengali
Schindler64,Hollywood,,8.6,,41.1,3942.82,Millions,USD,Telugu
Dark Knight152,Bollywood,,9.1,Warner Bros,-14.78,1951.86,Billions,USD,
Titanic153,Bollywood,2011,8.9,DVV Entertainment,110.33,1560.67,,USD,Hindi
Doctor Strange134,Bollywood,,9.1,Universal,-58.2,519.18,,USD,
Gladiator 5,Hollywood,2008,9.3,DVV Entertainment,89.18M,2366.29,,INR,
